/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2210560 114.204, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2214520 170.037, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2216416 48.0795, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2210848 1090.3
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.001626, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.002739, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.002748, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.002748
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.23258, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.671282, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.055917, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.009645
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 0.088449, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 1.09168, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 10.1671, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 9.8005
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 103008 3.20613, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102982 10.5115, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102982 72.2524, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 76.8535
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482432 141.218, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482944 54.6381, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482944 52.6068, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 483236 18.725
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3450 8.16318, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3553 7.03059, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3553 7.08465, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3541 2.30843
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8523 13.1935, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8523 13.2864, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8675 38.7562, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8609 6.91871
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 16178 6.75549, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 16178 6.71057, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15611 4.96622, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15716 15.7812
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24715 47.8215, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24657 28.1483, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24657 27.8533, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24599 37.5322
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 4878 12.4273, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 4641 6.01839, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 4586 34.5469, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 4850 38.9326
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21912 299.363, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21153 169.891, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21153 173.056, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21153 171.196
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 49564 255.265, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 50862 992.22, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 50951 110.603, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 50951 109.38
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 41922 100.923, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 27982 66.6056, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 42300 68.0349
